tip_names	date
hCoV-19_USA_CT-Yale-3512	2021-04-06
hCoV-19_USA_CT-CDC-STM-000043665	2021-03-22
hCoV-19_USA_NJ-CDC-QDX23235272	2021-03-21
hCoV-19_USA_CT-JAX-JAX000833	2021-04-06
hCoV-19_USA_CT-Yale-3230	2021-03-27
hCoV-19_USA_CT-CDC-LC0040752	2021-04-09
hCoV-19_USA_CT-Yale-2718	2021-03-21
hCoV-19_USA_CT-Yale-3210	2021-03-25
hCoV-19_USA_CT-JAX-JAX000459	2021-03-26
hCoV-19_USA_CT-JAX-JAX000407	2021-03-18
hCoV-19_USA_CT-JAX-JAX000631	2021-03-23
hCoV-19_USA_CT-JAX-JAX000575	2021-03-24
hCoV-19_USA_CT-JAX-JAX000570	2021-03-25
hCoV-19_USA_CT-JAX-JAX000586	2021-03-24
hCoV-19_USA_CT-Yale-2829	2021-03-19
hCoV-19_USA_CT-Yale-3179	2021-03-25
hCoV-19_USA_CT-JAX-JAX000435	2021-03-20
hCoV-19_USA_CT-JAX-JAX000229	2021-03-10
hCoV-19_USA_CT-JAX-JAX000427	2021-03-19
hCoV-19_USA_CT-Yale-3191	2021-03-25
hCoV-19_USA_CT-JAX-JAX000230	2021-03-10
hCoV-19_USA_CT-Yale-2789	2021-03-18
hCoV-19_USA_CT-Yale-3238	2021-03-26
hCoV-19_USA_CT-Yale-2712	2021-03-21
hCoV-19_USA_CT-Yale-2197	2021-03-07
hCoV-19_USA_CT-Yale-3585	2021-04-07
hCoV-19_USA_CT-Yale-3479	2021-04-05
hCoV-19_USA_CT-Yale-3067	2021-03-24
hCoV-19_USA_CT-Yale-2726	2021-03-20
hCoV-19_USA_CT-CDC-STM-000037676	2021-03-15
hCoV-19_USA_CT-JAX-JAX000809	2021-04-06
hCoV-19_USA_CT-JAX-JAX000897	2021-04-05
hCoV-19_USA_CT-CDCBI-CRSP_02093	2021-03-24
hCoV-19_USA_CT-CDC-STM-000039980	2021-03-19
hCoV-19_USA_CT-CDC-LC0040777	2021-04-08
hCoV-19_USA_CT-Yale-3234	2021-03-30
hCoV-19_USA_CT-Yale-2824	2021-03-18
hCoV-19_USA_CT-CDC-LC0040874	2021-04-09
hCoV-19_USA_CT-Yale-2785	2021-03-21
hCoV-19_USA_CT-JAX-JAX000710	2021-03-30
hCoV-19_USA_CT-Yale-3100	2021-03-24
hCoV-19_USA_NY-PRL-2021_02_26_00J06	2021-02-23
hCoV-19_USA_CT-Yale-2441	2021-03-09
hCoV-19_USA_CT-Yale-2506	2021-03-12
hCoV-19_USA_CT-Yale-2505	2021-03-12
hCoV-19_USA_CT-JAX-JAX000468	2021-03-23
hCoV-19_USA_CT-Yale-2495	2021-03-12
hCoV-19_USA_NJ-CDC-IBX874689836935	2021-03-23
hCoV-19_USA_NY-PRL-2021_0412_02E20	2021-04-09
hCoV-19_USA_NY-Wadsworth-21030086-01	2021-03-02
hCoV-19_USA_NY-PRL-2021_0405_01N09	2021-04-01
hCoV-19_USA_NY-PRL-2021_0412_01D02	2021-04-10
hCoV-19_USA_NY-Wadsworth-21033234-01	2021-03-11
hCoV-19_USA_NY-21-CoV-1536-VTM1-AJMR820	2021-02-17
hCoV-19_USA_NY-PRL-2021_03_31_00A24	2021-03-28
hCoV-19_USA_NY-PRL-2021_03_02_00B15	2021-02-28
hCoV-19_USA_NY-PRL-2021_0412_00N14	2021-04-10
hCoV-19_USA_CT-JAX-JAX000708	2021-03-30
hCoV-19_USA_CT-JAX-JAX000456	2021-03-26
hCoV-19_USA_CT-JAX-JAX000492	2021-03-27
hCoV-19_USA_CT-CDCBI-CRSP_01676	2021-03-21
hCoV-19_USA_NY-PRL-2021_0416_00B13	2021-04-15
hCoV-19_USA_NY-PRL-2021_03_29_01O12	2021-03-27
hCoV-19_USA_NY-PRL-2021_03_01_00A03	2021-02-26
hCoV-19_USA_CT-JAX-JAX000856	2021-04-08
hCoV-19_USA_NY-PRL-2021_0412_01N17	2021-04-11
hCoV-19_USA_NY-CDC-ASC210024678	2021-03-27
hCoV-19_USA_NY-NYCPHL-003991	2021-03-19
hCoV-19_USA_CT-JAX-JAX000791	2021-04-02
hCoV-19_USA_NY-PRL-2021_0412_02K20	2021-04-09
hCoV-19_USA_CT-Yale-3134	2021-03-25
hCoV-19_USA_CT-Yale-2727	2021-03-20
hCoV-19_USA_CT-Yale-2557	2021-03-13
hCoV-19_USA_CT-JAX-JAX000391	2021-03-17
hCoV-19_USA_CT-CDC-LC0041402	2021-04-09
hCoV-19_USA_CT-CDC-LC0040130	2021-04-05
hCoV-19_USA_NY-PRL-2021_03_01_00H05	2021-02-26
hCoV-19_USA_CT-CDCBI-CRSP_01758	2021-03-17
hCoV-19_USA_CT-CDCBI-CRSP_01813	2021-03-18
hCoV-19_USA_CT-JAX-JAX000915	2021-04-09
hCoV-19_USA_CT-JAX-JAX000651	2021-03-31
hCoV-19_USA_CT-CDC-QDX23678235	2021-04-05
hCoV-19_USA_CT-CDCBI-CRSP_02078	2021-03-24
hCoV-19_USA_CT-CDCBI-CRSP_01369	2021-03-08
hCoV-19_USA_CT-JAX-JAX000136	2021-03-03
hCoV-19_USA_CT-JAX-JAX000351	2021-03-16
hCoV-19_USA_CT-JAX-JAX000258	2021-03-08
hCoV-19_USA_NY-PRL-2021_02_22_00F19	2021-02-17
hCoV-19_USA_NY-PRL-2021_02_12_04A09	2021-02-10
hCoV-19_USA_NY-PRL-2021_02_26_00I17	2021-02-23
hCoV-19_USA_NY-Wadsworth-21035576-01	2021-03-21
hCoV-19_USA_NY-Wadsworth-21035574-01	2021-03-21
hCoV-19_USA_CT-Yale-3514	2021-04-05
hCoV-19_USA_CT-Yale-3561	2021-04-06
hCoV-19_USA_CT-Yale-3583	2021-04-04
hCoV-19_USA_NY-PRL-2021_0408_00I10	2021-04-06
hCoV-19_USA_NY-NYCPHL-004041	2021-03-23
hCoV-19_USA_CT-JAX-JAX000890	2021-04-07
hCoV-19_USA_CT-Yale-3225	2021-03-27
hCoV-19_USA_NY-PRL-03_10_00P13	2021-03-08
hCoV-19_USA_NY-PRL-2021_03_17_00F16	2021-03-15
hCoV-19_USA_NY-NYULH338	2021-02-03
hCoV-19_USA_NY-NYCPHL-003937	2021-03-17
hCoV-19_USA_NJ-CDC-IBX180040730856	2021-03-17
hCoV-19_USA_NJ-CDC-ASC210015543	2021-03-22
hCoV-19_USA_NY-PRL-2021_0407_00O24	2021-04-05
hCoV-19_USA_NY-PRL-2021_0406_00E11	2021-04-02
hCoV-19_USA_NY-Wadsworth-21020831-01	2021-02-08
hCoV-19_USA_CT-CDC-QDX23678335	2021-04-05
hCoV-19_USA_NY-PRL-2021_0405_02C05	2021-04-03
hCoV-19_USA_NY-PRL-2021_0414_00H08	2021-04-12
hCoV-19_USA_NY-PRL-2021_03_01_01M01	2021-02-27
hCoV-19_USA_NY-PRL-2021_0208_04D08	2021-02-06
hCoV-19_USA_NY-PRL-2021_03_19_00G21	2021-03-17
hCoV-19_USA_NY-PRL-2021_03_19_00G22	2021-03-17
hCoV-19_USA_NY-PRL-2021_02_15_00G03	2021-02-13
hCoV-19_USA_NY-PRL-03_10_00A11	2021-03-04
hCoV-19_USA_NY-PRL-2021_0406_00D05	2021-04-01
hCoV-19_USA_NY-PRL-2021_0405_01E09	2021-04-03
hCoV-19_USA_NY-PRL-2021_04_01_00C10	2021-03-29
hCoV-19_USA_NY-PRL-2021_04_01_00I16	2021-03-28
hCoV-19_USA_NY-PRL-2021_0408_00E12	2021-04-06
hCoV-19_USA_CA-CDC-FG-020086	2021-04-07
hCoV-19_USA_NY-NYCPHL-003973	2021-03-19
hCoV-19_USA_NJ-CDC-ASC210013397	2021-03-20
hCoV-19_USA_CT-CDC-QDX23205585	2021-03-21
hCoV-19_USA_NJ-CDC-LC0036831	2021-03-23
hCoV-19_USA_NY-PRL-2021_04_01_00M16	2021-03-30
hCoV-19_USA_NY-PRL-2021_03_22_01B05	2021-03-20
hCoV-19_USA_CT-CDC-IBX494693701928	2021-03-15
hCoV-19_USA_CT-JAX-JAX000712	2021-03-29
hCoV-19_USA_CT-JAX-JAX000307	2021-03-14
hCoV-19_USA_CT-JAX-JAX000438	2021-03-20
hCoV-19_USA_NY-PRL-2021_02_22_00P04	2021-02-18
hCoV-19_USA_CT-CDC-STM-000048335	2021-04-01
hCoV-19_USA_CT-Yale-2790	2021-03-20
hCoV-19_USA_CT-Yale-2774	2021-03-19
hCoV-19_USA_CT-JAX-JAX000306	2021-03-15
hCoV-19_USA_CT-JAX-JAX000581	2021-03-25
hCoV-19_USA_CT-JAX-JAX000176	2021-03-02
hCoV-19_USA_CT-JAX-JAX000327	2021-03-16
hCoV-19_USA_CT-JAX-JAX000276	2021-03-09
hCoV-19_USA_CT-JAX-JAX000323	2021-03-16
hCoV-19_USA_CT-Yale-2518	2021-03-12
hCoV-19_USA_CT-Yale-3290	2021-03-28
hCoV-19_USA_CT-Yale-2729	2021-03-21
hCoV-19_USA_CT-JAX-JAX000331	2021-03-16
hCoV-19_USA_NY-PRL-2021_02_19_00P13	2021-02-16
hCoV-19_USA_NY-CDC-STM-000048922	2021-04-01
hCoV-19_USA_NY-Wadsworth-21021060-01	2021-02-06
hCoV-19_USA_NY-CDC-ASC210045263	2021-04-04
hCoV-19_USA_NY-NYCPHL-003483	2021-02-22
hCoV-19_USA_NY-CDC-LC0037992	2021-03-29
hCoV-19_USA_NY-PRL-2021_03_25_00F02	2021-03-24
hCoV-19_USA_NY-PRL-2021_03_29_04E15	2021-03-25
hCoV-19_USA_NY-NYCPHL-003356	2021-02-12
hCoV-19_USA_NY-NYCPHL-003492	2021-02-22
hCoV-19_USA_NY-PRL-2021_03_01_01P06	2021-02-28
hCoV-19_USA_NY-PRL-2021_0415_00N08	2021-04-13
hCoV-19_USA_NY-PRL-2021_03_25_00N02	2021-03-24
hCoV-19_USA_NY-NYCPHL-003375	2021-02-13
hCoV-19_USA_NY-NYULH1197	2021-03-25
hCoV-19_USA_NY-PRL-2021_03_29_04A10	2021-03-26
hCoV-19_USA_NY-Wadsworth-21035523-01	2021-03-12
hCoV-19_USA_NY-Wadsworth-21035086-01	2021-03-20
hCoV-19_USA_NY-PRL-2021_0406_00E19	2021-04-04
hCoV-19_USA_NJ-CDC-LC0042669	2021-04-05
hCoV-19_USA_NY-Wadsworth-21006106-01	2021-01-04
hCoV-19_USA_NY-Wadsworth-21011153-01	2021-01-10
hCoV-19_USA_NY-Wadsworth-21026278-01	2021-01-25
hCoV-19_Switzerland_GR-ETHZ-540135	2021-03-15
hCoV-19_USA_NY-Wadsworth-21012154-01	2021-01-19
hCoV-19_USA_NY-PRL-2021_03_29_03H20	2021-03-26
hCoV-19_USA_CA-CDC-FG-015097	2021-03-25
hCoV-19_USA_NJ-CDC-ASC210017112	2021-03-23
hCoV-19_USA_NJ-CDC-ASC210017114	2021-03-23
hCoV-19_USA_NY-PRL-03_09_02K22	2021-03-08
hCoV-19_USA_NJ-CDC-LC0043392	2021-04-10
hCoV-19_USA_NJ-CDC-LC0043141	2021-04-07
hCoV-19_USA_CT-Yale-2491	2021-03-12
hCoV-19_USA_CT-Yale-2492	2021-03-12
hCoV-19_USA_CT-Yale-2548	2021-03-12
hCoV-19_USA_CT-JAX-JAX000139	2021-03-02
hCoV-19_USA_NY-PRL-2021_03_01_01N05	2021-02-27
hCoV-19_USA_NY-PRL-2021_0407_00O16	2021-04-05
hCoV-19_USA_NY-Wadsworth-21032737-01	2021-03-10
hCoV-19_USA_MT-MTPHL-21310132	2021-03-30
hCoV-19_USA_NY-CDC-IBX129722732790	2021-04-03
hCoV-19_USA_NY-PRL-2021_0408_00I13	2021-04-07
hCoV-19_USA_IN-CDC-ASC210020320	2021-03-25
hCoV-19_USA_IL-CDC-ASC210017099	2021-03-23
hCoV-19_USA_AZ-TG808844	2021-03-22
hCoV-19_USA_CT-JAX-JAX000717	2021-03-31
hCoV-19_USA_CT-JAX-JAX000613	2021-03-24
hCoV-19_USA_NY-PRL-2021_03_22_01N09	2021-03-20
hCoV-19_USA_NY-NYULH308	2021-02-02
hCoV-19_USA_NY-PRL-2021_03_02_00D03	2021-02-28
hCoV-19_USA_NJ-CDC-IBX049329723430	2021-03-20
hCoV-19_USA_NY-PRL-2021_02_17_00L08	2021-02-13
hCoV-19_USA_NY-PRL-2021_02_22_00O08	2021-02-19
hCoV-19_USA_NY-PRL-2021_0415_00L17	2021-04-13
hCoV-19_USA_NY-PRL-2021_02_26_00L14	2021-02-23
hCoV-19_USA_NY-PRL-2021_02_26_00E02	2021-02-23
hCoV-19_USA_NY-PRL-2021_02_19_00D15	2021-02-16
hCoV-19_USA_NY-PRL-2021_03_16_00H08	2021-03-15
hCoV-19_USA_NJ-PHEL-P21-6182	2021-02-09
hCoV-19_USA_NY-Wadsworth-21014012-01	2020-12-28
hCoV-19_USA_NY-NYCPHL-002852	2021-01-27
hCoV-19_USA_MS-UMMC-M448C12-504456	2021-03-12
hCoV-19_USA_OK-CDC-LC0039086	2021-03-31
hCoV-19_USA_WY-WPHL-21013365	2021-02-06
hCoV-19_USA_MS-CDC-2-4122529	2021-03-24
hCoV-19_USA_MS-UMMC-M493C4-504745	2021-04-05
hCoV-19_USA_CT-Yale-2482	2021-03-11
hCoV-19_USA_NY-PRL-2021_02_19_01M12	2021-02-17
hCoV-19_USA_NY-PRL-2021_03_29_03I10	2021-03-26
hCoV-19_Portugal_PT4347	2021-03-03
hCoV-19_Portugal_PT4348	2021-03-04
hCoV-19_USA_NY-Wadsworth-21026262-01	2021-01-24
hCoV-19_USA_TX-CDC-ASC210016962	2021-03-22
hCoV-19_USA_CA-CDC-2-4177024	2021-03-19
hCoV-19_USA_NY-21-CoV-1781-VTM2-CGBS543	2021-02-27
hCoV-19_USA_NY-Wadsworth-21023826-01	2021-02-10
hCoV-19_USA_CT-Yale-1738	2021-02-15
hCoV-19_USA_CT-Yale-1739	2021-02-15
hCoV-19_USA_NY-PRL-2021_0408_00E19	2021-04-06
hCoV-19_USA_NY-NYCPHL-004051	2021-03-19
hCoV-19_USA_NY-CDC-LC0026635	2021-03-09
hCoV-19_USA_NY-Wadsworth-21021037-01	2021-02-07
hCoV-19_USA_CT-JAX-JAX000860	2021-04-06
hCoV-19_USA_NY-PRL-2021_0405_01M03	2021-04-01
hCoV-19_USA_NY-NYCPHL-003869	2021-03-10
hCoV-19_USA_NJ-CDC-LC0036128	2021-03-25
hCoV-19_USA_CT-Yale-2686	2021-03-17
hCoV-19_USA_CT-Yale-2704	2021-03-19
hCoV-19_USA_CT-Yale-2752	2021-03-19
hCoV-19_USA_CT-Yale-2569	2021-03-10
hCoV-19_USA_CT-Yale-2751	2021-03-19
hCoV-19_USA_CT-JAX-JAX000167	2021-02-02
hCoV-19_USA_CT-CDC-LC0041304	2021-04-09
hCoV-19_USA_NY-PRL-2021_02_19_00B21	2021-02-16
hCoV-19_USA_NY-PRL-2021_03_15_01O07	2021-03-13
hCoV-19_France_HDF-20210322v2a7	2021-03-25
hCoV-19_France_ARA-700000189537	2021-03-18
hCoV-19_France_ARA-700000197378	2021-03-16
hCoV-19_USA_NY-PRL-2021_02_26_00I22	2021-02-23
hCoV-19_USA_NY-PRL-2021_03_29_04E13	2021-03-25
hCoV-19_USA_NY-PRL-2021_03_29_03P06	2021-03-26
hCoV-19_USA_NY-PRL-2021_02_22_00F15	2021-02-19
hCoV-19_USA_CT-JAX-JAX000911	2021-04-05
hCoV-19_USA_NY-NYCPHL-002520	2021-01-16
hCoV-19_USA_NY-NYCPHL-003445	2021-02-19
hCoV-19_USA_CT-JAX-JAX000279	2021-03-09
hCoV-19_Sweden_47166682	2021-03-30
hCoV-19_USA_CT-JAX-JAX000138	2021-03-02
hCoV-19_USA_CT-CDC-LC0040281	2021-04-05
hCoV-19_USA_CT-CDC-IBX325653120821	2021-03-23
hCoV-19_USA_NJ-CDC-ASC210006103	2021-03-13
hCoV-19_USA_NJ-CDC-LC0038520	2021-03-31
hCoV-19_USA_NJ-CDC-ASC210017077	2021-03-23
hCoV-19_USA_NY-PRL-2021_03_24_00N07	2021-03-23
hCoV-19_USA_NY-PRL-2021_03_22_01L17	2021-03-20
hCoV-19_USA_FL-CDC-STM-000044202	2021-03-26
hCoV-19_USA_CT-CDC-QDX23205192	2021-03-21
hCoV-19_USA_CT-Yale-2292	2021-03-08
hCoV-19_USA_NY-CDC-LC0041057	2021-04-07
hCoV-19_USA_NY-CDC-LC0041348	2021-04-06
hCoV-19_USA_NY-PRL-2021_0412_00P23	2021-04-10
hCoV-19_USA_NY-Wadsworth-21021044-01	2021-02-06
hCoV-19_USA_NY-NYCPHL-002525	2021-01-14
hCoV-19_USA_CT-Yale-2855	2021-03-22
hCoV-19_USA_CT-CDC-LC0043229	2021-04-10
hCoV-19_USA_CT-CDC-LC0042227	2021-04-04
hCoV-19_USA_CT-CDC-LC0042330	2021-04-03
hCoV-19_USA_CT-CDC-LC0040965	2021-04-07
hCoV-19_USA_CT-CDC-ASC210011877	2021-03-19
hCoV-19_USA_CT-CDC-ASC210024477	2021-03-27
hCoV-19_USA_CT-CDC-LC0040868	2021-04-06
hCoV-19_USA_CT-CDC-ASC210018524	2021-03-24
hCoV-19_USA_CT-Yale-3153	2021-03-25
hCoV-19_USA_CT-CDC-ASC210012105	2021-03-19
hCoV-19_USA_CT-Yale-2764	2021-03-21
hCoV-19_USA_CT-JAX-JAX000476	2021-03-25
hCoV-19_USA_CT-JAX-JAX000507	2021-03-25
hCoV-19_USA_CT-JAX-JAX000252	2021-03-13
hCoV-19_USA_CT-JAX-JAX000418	2021-03-18
hCoV-19_USA_CT-Yale-3580	2021-04-05
hCoV-19_USA_CT-Yale-3287	2021-03-28
hCoV-19_USA_CT-Yale-2700	2021-03-18
hCoV-19_USA_CT-Yale-3292	2021-03-27
hCoV-19_USA_CT-Yale-3581	2021-04-05
hCoV-19_USA_CT-CDC-QDX23678267	2021-04-05
hCoV-19_USA_CT-Yale-3293	2021-03-28
hCoV-19_USA_CT-CDC-LC0039937	2021-04-03
hCoV-19_USA_NY-CDC-LC0036190	2021-03-27
hCoV-19_USA_CT-CDC-LC0041020	2021-04-08
hCoV-19_USA_CT-JAX-JAX000593	2021-03-24
hCoV-19_USA_CT-JAX-JAX000304	2021-03-15
hCoV-19_USA_CT-CDC-QDX23206498	2021-03-21
hCoV-19_USA_CT-JAX-JAX000296	2021-03-15
hCoV-19_USA_CT-JAX-JAX000500	2021-03-25
hCoV-19_USA_CT-Yale-3267	2021-03-26
hCoV-19_USA_CT-JAX-JAX000874	2021-04-05
hCoV-19_USA_CT-CDC-LC0040975	2021-04-06
hCoV-19_USA_CT-JAX-JAX000462	2021-03-25
hCoV-19_USA_CT-CDC-ASC210038695	2021-03-31
hCoV-19_USA_NJ-CDC-LC0042548	2021-04-01
hCoV-19_USA_CT-JAX-JAX000887	2021-04-05
hCoV-19_USA_IN-CDC-2-4122548	2021-03-25
hCoV-19_USA_NJ-CDC-ASC210026643	2021-03-30
hCoV-19_USA_CT-CDC-QDX23572301	2021-04-02
hCoV-19_USA_NJ-CDC-LC0033098	2021-03-18
hCoV-19_USA_NC-CDC-LC0036950	2021-03-25
hCoV-19_USA_NY-PRL-2021_0412_02G15	2021-04-09
hCoV-19_USA_NY-Wadsworth-21010841-01	2021-01-17
hCoV-19_USA_NY-CDC-LC0041103	2021-04-09
hCoV-19_USA_NJ-CDC-LC0043222	2021-04-09
hCoV-19_USA_NY-CDC-QDX23396211	2021-03-28
hCoV-19_USA_NY-PRL-2021_03_29_03A21	2021-03-26
hCoV-19_USA_CT-JAX-JAX000899	2021-04-05
hCoV-19_USA_NY-PRL-2021_0413_00M22	2021-04-12
hCoV-19_USA_NY-PRL-2021_03_15_01J24	2021-03-13
hCoV-19_USA_CT-Yale-2772	2021-03-19
hCoV-19_USA_CT-Yale-3082	2021-03-24
hCoV-19_USA_CT-Yale-2693	2021-03-18
hCoV-19_USA_CT-Yale-3112	2021-03-24
hCoV-19_USA_NY-PRL-2021_0412_00E15	2021-04-08
hCoV-19_USA_CT-JAX-JAX000122	2021-03-02
hCoV-19_USA_CT-JAX-JAX000157	2021-03-01
hCoV-19_USA_CT-Yale-2822	2021-03-21
hCoV-19_USA_CT-JAX-JAX000792	2021-04-03
hCoV-19_USA_CT-JAX-JAX000849	2021-04-06
hCoV-19_USA_CT-JAX-JAX000478	2021-03-27
hCoV-19_USA_CT-JAX-JAX000530	2021-03-27
hCoV-19_USA_CT-JAX-JAX000624	2021-03-24
hCoV-19_USA_CT-CDC-QDX23678338	2021-04-05
hCoV-19_USA_CT-JAX-JAX000747	2021-04-02
hCoV-19_USA_CT-JAX-JAX000498	2021-03-26
hCoV-19_USA_NY-Wadsworth-21040746-01	2021-04-01
hCoV-19_USA_NY-PRL-2021_03_25_00H02	2021-03-24
hCoV-19_USA_NY-PRL-2021_03_29_01L15	2021-03-24
hCoV-19_USA_NY-NYULH891	2021-03-11
hCoV-19_USA_NY-PRL-2021_0412_01O22	2021-04-09
hCoV-19_USA_NY-CDC-ASC210024809	2021-03-28
hCoV-19_USA_CT-Yale-2828	2021-03-20
hCoV-19_USA_NY-PRL-2021_0406_00J24	2021-04-05
hCoV-19_USA_NY-Wadsworth-21033966-01	2021-03-16
hCoV-19_USA_NY-PRL-2021_0408_00G23	2021-04-06
hCoV-19_USA_CT-Yale-2553	2021-03-13
hCoV-19_USA_NY-Wadsworth-21012209-01	2021-01-19
hCoV-19_USA_NY-PRL-2021_0407_00D01	2021-04-05
hCoV-19_USA_NY-CDC-LC0037298	2021-03-23
hCoV-19_USA_NY-PRL-2021_03_11_00H16	2021-03-09
hCoV-19_USA_NY-NYCPHL-003721	2021-03-04
hCoV-19_USA_CT-CDC-LC0040987	2021-04-08
hCoV-19_USA_NJ-CDC-LC0030853	2021-03-15
hCoV-19_USA_CT-CDC-LC0020093	2021-02-21
hCoV-19_USA_NY-PRL-2021_03_01_01I10	2021-02-27
hCoV-19_USA_CT-Yale-2496	2021-03-12
hCoV-19_USA_NY-Wadsworth-21018021-01	2021-01-29
hCoV-19_USA_NY-PRL-2021_03_29_01F03	2021-03-24
hCoV-19_USA_NY-Wadsworth-21031414-01	2021-03-04
hCoV-19_USA_NY-PRL-2021_02_17_01M04	2021-02-16
hCoV-19_USA_CT-CDC-LC0040015	2021-04-05
hCoV-19_USA_CT-Yale-2501	2021-03-12
hCoV-19_USA_CT-CDC-QDX23206037	2021-03-21
hCoV-19_USA_CT-Yale-1783	2021-02-16
hCoV-19_USA_NY-NYULH843	2021-03-11
hCoV-19_USA_NJ-CDC-LC0034295	2021-03-17
hCoV-19_USA_NY-CDC-LC0031054	2021-03-15
hCoV-19_USA_CT-CDC-LC0039883	2021-04-05
hCoV-19_USA_NY-PRL-2021_03_23_01F03	2021-03-22
hCoV-19_USA_NY-NYCPHL-003819	2021-03-11
hCoV-19_USA_NY-PRL-2021_03_29_01A06	2021-03-25
hCoV-19_USA_NY-CDC-QDX23572269	2021-04-01
hCoV-19_USA_NY-PRL-2021_03_11_00C01	2021-03-08
hCoV-19_USA_NY-PRL-2021_03_05_00M04	2021-03-03
hCoV-19_USA_NY-PRL-2021_03_05_00J13	2021-03-03
hCoV-19_USA_NY-PRL-2021_03_29_04H14	2021-03-25
hCoV-19_USA_NY-Wadsworth-21036647-01	2021-03-18
hCoV-19_USA_NY-PRL-2021_0409_00O16	2021-04-07
hCoV-19_USA_GA-CDC-ASC210028327	2021-03-30
hCoV-19_USA_CT-CDC-QDX23396297	2021-03-29
hCoV-19_USA_CT-JAX-JAX000787	2021-04-02
hCoV-19_USA_NY-PRL-2021_0415_00M10	2021-04-13
hCoV-19_USA_NJ-CDC-ASC210040670	2021-04-01
hCoV-19_USA_NY-PRL-2021_03_25_00M02	2021-03-24
hCoV-19_USA_CT-JAX-JAX000920	2021-04-06
hCoV-19_USA_CT-CDC-QDX23678254	2021-04-05
hCoV-19_USA_CT-CDC-IBX246254212193	2021-03-24
hCoV-19_USA_CT-Yale-3551	2021-04-05
hCoV-19_USA_CT-JAX-JAX000667	2021-03-31
hCoV-19_USA_CT-Yale-3057	2021-03-25
hCoV-19_USA_CT-CDC-QDX23678243	2021-04-05
hCoV-19_USA_CT-Yale-3498	2021-04-05
hCoV-19_USA_CT-JAX-JAX000718	2021-03-29
hCoV-19_USA_CT-Yale-3272	2021-03-28
hCoV-19_USA_CT-Yale-2811	2021-03-20
hCoV-19_USA_CT-JAX-JAX000938	2021-04-06
hCoV-19_USA_CT-JAX-JAX000610	2021-03-22
hCoV-19_USA_CT-JAX-JAX000630	2021-03-23
hCoV-19_USA_CT-JAX-JAX000729	2021-03-29
hCoV-19_USA_CT-Yale-3136	2021-03-25
hCoV-19_USA_CT-Yale-2713	2021-03-20
hCoV-19_USA_CT-Yale-3108	2021-03-25
hCoV-19_USA_CT-Yale-2725	2021-03-18
hCoV-19_USA_CT-Yale-2951	2021-03-18
hCoV-19_USA_CT-Yale-2722	2021-03-21
hCoV-19_USA_CT-Yale-2741	2021-03-21
hCoV-19_USA_CT-Yale-2065	2021-02-27
hCoV-19_USA_CT-JAX-JAX000336	2021-03-16
hCoV-19_USA_CT-JAX-JAX000547	2021-03-23
hCoV-19_USA_NY-PRL-2021_03_29_00K22	2021-03-23
hCoV-19_USA_CT-Yale-2472	2021-03-11
hCoV-19_USA_CT-Yale-2447	2021-03-09
hCoV-19_USA_CT-JAX-JAX000535	2021-03-22
hCoV-19_USA_CT-JAX-JAX000264	2021-03-07
hCoV-19_USA_NY-NYCPHL-003241	2021-02-10
hCoV-19_USA_NY-PRL-2021_04_01_00O09	2021-03-31
hCoV-19_USA_NY-PRL-2021_03_29_01H22	2021-03-24
hCoV-19_USA_NY-PRL-2021_03_15_01H11	2021-03-13
hCoV-19_USA_NY-Wadsworth-21020535-01	2021-02-03
hCoV-19_USA_NY-Wadsworth-21020834-01	2021-02-08
hCoV-19_USA_NJ-S-BM-5257-BNTN773	2021-02-01
hCoV-19_USA_NY-PRL-2021_0407_00C01	2021-04-06
hCoV-19_USA_NY-PRL-2021_03_29_03A19	2021-03-26
hCoV-19_Spain_CT-HUGTiPR012YO1E5	2021-04-04
hCoV-19_USA_NY-Wadsworth-21035986-01	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_29_04K14	2021-03-25
hCoV-19_USA_CT-Yale-2792	2021-03-20
hCoV-19_USA_CT-Yale-3282	2021-03-27
hCoV-19_USA_CT-Yale-3140	2021-03-25
hCoV-19_USA_CT-Yale-3180	2021-03-25
hCoV-19_USA_CT-Yale-3171	2021-03-26
hCoV-19_USA_CT-Yale-3548	2021-04-05
hCoV-19_USA_CT-Yale-3102	2021-03-24
hCoV-19_USA_CT-Yale-3103	2021-03-24
hCoV-19_USA_NY-MSHSPSP-PV27534	2021-02-03
hCoV-19_USA_NY-PRL-2021_03_16_00D02	2021-03-13
hCoV-19_USA_NY-NYULH997	2021-03-17
hCoV-19_USA_NY-CDC-LC0038981	2021-03-31
hCoV-19_USA_NJ-CDC-IBX411000913983	2021-03-17
hCoV-19_USA_MO-MSPHL-000557	2021-03-18
hCoV-19_USA_NJ-CDC-ASC210007501	2021-03-16
hCoV-19_USA_CT-Yale-2808	2021-03-18
hCoV-19_USA_CT-Yale-3262	2021-03-25
hCoV-19_USA_CT-Yale-3576	2021-04-02
hCoV-19_USA_CT-JAX-JAX000881	2021-04-07
hCoV-19_USA_CT-JAX-JAX000639	2021-03-24
hCoV-19_USA_CT-JAX-JAX000213	2021-03-10
hCoV-19_USA_NJ-CDC-ASC210007267	2021-03-15
hCoV-19_USA_NJ-CDC-LC0038433	2021-03-31
hCoV-19_USA_NJ-CDC-LC0038860	2021-03-31
